hotel_id,nome,old_destino_id,fonte,brackets
261348,Berlin Marathon,19740,gmaps_not_found,
261349,Boston Marathon,19740,gmaps_not_found,
261350,Chicago Marathon,19740,gmaps_not_found,
261351,London Marathon,19740,gmaps_not_found,
261352,New York City Marathon,19740,gmaps_not_found,
261353,Tokyo Marathon,19740,gmaps_not_found,
261354,Amsterdam Marathon,19740,gmaps_not_found,
261355,Barcelona Marathon,19740,gmaps_not_found,
261356,Beijing Marathon,19740,gmaps_not_found,
261357,Dubai Marathon,19740,gmaps_not_found,
261358,Finlandia Marathon,19740,gmaps_not_found,
261359,Helsinki City Marathon,19740,gmaps_not_found,
261360,Hong Kong Marathon,19740,gmaps_not_found,
261361,Istanbul Marathon,19740,gmaps_not_found,
261362,Mexico City International Marathon,19740,gmaps_not_found,
261363,Osaka Marathon,19740,gmaps_not_found,
261364,Paavo Nurmi Marathon,19740,gmaps_not_found,
261365,Paris Marathon,19740,gmaps_not_found,
261366,Prague Marathon,19740,gmaps_not_found,
261367,Maraton do Rio,19740,gmaps_not_found,
261368,Rome Marathon,19740,gmaps_not_found,
261369,Rotterdam Marathon,19740,gmaps_not_found,
261370,Shanghai Marathon,19740,gmaps_not_found,
261371,Sydney Marathon,19740,gmaps_not_found,
261372,Xiamen International Marathon,19740,gmaps_not_found,
262292,Maralinga atomic test site,19874,local,
262302,"Hanford Site near [[Richland]], Washington, USA",19874,local,Richland
262304,Memorial complex of Obninsk Nuclear Power Plant,19874,local,
262309,"National Museum of Nuclear Science & History in [[Albuquerque]], USA",19874,local,Albuquerque
262310,"Savannah River Site, South Carolina, USA",19874,local,
262320,TRIGA Mark I,19874,local,
262324,The Ignalina Nuclear Power Plant,19874,local,
262325,Bataan Nuclear Power Plant,19874,local,
262326,Kalkar,19874,local,
262327,Zwentendorf Nuclear Power Plant,19874,local,
262328,"Żarnowiec, [[Poland]]",19874,local,Poland
279326,Hamlet and Susan,21218,local,
279327,Ira,21218,hotel_centroid,
279328,Artur and Sveta,21218,local,
279329,Nikolai,21218,hotel_centroid,
279330,Vardan,21218,local,
279331,Armo,21218,hotel_centroid,
279332,Aro,21218,hotel_centroid,
279333,Officer Samvel,21218,hotel_centroid,
279334,Samvel the younger,21218,hotel_centroid,
279335,Tiko,21218,hotel_centroid,
279336,Vasak and Tatevik,21218,local,
279337,Henrikh and Madlen Stepanian,21218,local,
279338,Mardik sister,21218,hotel_centroid,
279339,Surik and Zamira Hayrapetian,21218,local,
279341,Guesthouse Nadejda,21218,hotel_centroid,
279342,Ulmar,21218,hotel_centroid,
279343,Alvart Dadayan,21218,local,
279344,Gago,21218,hotel_centroid,
279345,Nver Dadayan,21218,local,
279346,Albert and Laura,21218,local,
279347,Armen and Luisa,21218,local,
279348,Elmira (Emma) Hairapetian,21218,local,
279349,Suren,21218,hotel_centroid,
279350,Artur and Anahit Babayan,21218,local,
279351,Onnik and Amalia Balassanian,21218,local,
279352,Sergey and Nadia Harutyunian,21218,local,
279353,Narimon House,21218,hotel_centroid,
279354,Artush Mangasaryan,21218,local,
279355,Gagik Zakharyan,21218,local,
279356,Fedya Ohanyan,21218,local,
279357,Valo and Mareta Ohanyan,21218,local,
279358,Vano (Vanya) and Nurvard,21218,local,
279359,Vazgen and Dzovinar Baghdasarian,21218,local,
279360,Ara and Inga Adamian,21218,local,
279361,Elmard and Hranush (Sonia) Sarafian,21218,local,
279362,Vova and Alina Begnazarian,21218,local,
279363,Gegham Badalyan,21218,local,
279364,Hayk and Mrs. Alvart Danielian,21218,local,
279365,Lova and Mrs. Maret,21218,local,
282532,[[Qingdao]],21496,gmaps_not_found,Qingdao
282533,[[Brest (Belarus),21496,gmaps_not_found,
282534,[[Ypres]],21496,gmaps_not_found,Ypres
282535,[[Sarajevo]],21496,gmaps_not_found,Sarajevo
282536,[[Verdun]],21496,gmaps_not_found,Verdun
282537,Vimy Ridge,21496,gmaps_not_found,
282538,Forest of [[Compiègne]],21496,gmaps_not_found,Compiègne
282539,Lochnagar mine,21496,gmaps_not_found,
282540,[[Kiel]],21496,gmaps_not_found,Kiel
282541,Manfred von Richthofen's grave,21496,gmaps_not_found,
282542,Battle of Tannenberg,21496,gmaps_not_found,
282543,[[Gallipoli]],21496,gmaps_not_found,Gallipoli
