id,nome,pais_code,latitude,longitude,nearest_city,nearest_cc,dist_km,auto_fixable
117,"Arábia Saudita",SA,38.70191,-9.216298,"Restelo",PT,0.3,YES
120,"Aracati",PT,-5.3109975,-35.66412,"Santa Luzia",BR,20.9,YES
135,"Araripina",PT,-7.576858,-40.50385,"Araripina",BR,0.6,YES
140,"Argel",DZ,40.09767,-8.773622,"Figueira da Foz",PT,9.5,YES
145,"Arquipélago de Anavilhanas",BR,37.81899,-25.528994,"Rabo de Peixe",PT,4.8,YES
150,"Artigas",BR,-30.256035,-57.58985,"Bella Unión",UY,1,YES
152,"Arua",PT,44.06039,-0.3508658,"Mont-de-Marsan",FR,22.2,YES
154,"Aruba",NL,12.50136,-69.96185,"Santa Cruz",AW,2.3,YES
156,"Ashikaga",PT,36.340034,139.44884,"Ashikaga",JP,0.8,YES
163,"Assunção",ES,39.086224,-7.250328,"Campo Maior",PT,17.7,YES
165,"Atar",PT,9.33746,31.407885,"Malakal",SS,35.2,YES
166,"Atenas",GR,45.63453,12.6868,"Ceggia",IT,6.8,YES
168,"Ática",GR,41.266388,-8.611874,"Santa Maria de Avioso",PT,0.5,YES
169,"Atlanta",GE,33.75447,-84.38982,"Atlanta",US,0.6,YES
172,"Auschwitz",PL,50.92685,8.406086,"Bad Laasphe",DE,1.4,YES
175,"Áustria",AT,43.7604,11.30066,"Bagno a Ripoli",IT,2,YES
181,"Avinhão",PT,43.94925,4.805901,"Avignon",FR,0.3,YES
182,"Ayorou",PT,14.733516,0.9194517,"Ayorou",NE,0.4,YES
185,"Bagan",PT,21.131712,94.862366,"Nyaung-U",MM,9,YES
188,"Bahariyya",GB,28.357203,28.862965,"Al Bawīţī",EG,1.2,YES
192,"Baie Ste. Anne",PT,47.04726,-64.96257,"Beaurivage",CA,40.6,YES
195,"Baleyara",PT,13.784102,2.951507,"Baléyara",NE,0.1,YES
215,"Barbados",VE,51.49022,0.2953782,"Chafford Hundred",GB,0.1,YES
216,"Barbalha",PT,-7.3121066,-39.303642,"Barbalha",BR,0.1,YES
229,"Barra do Quaraí",BR,-30.208946,-57.550514,"Bella Unión",UY,7.3,YES
233,"Barroquinha",PT,-4.6423273,-44.952866,"Igarapé Grande",BR,11,YES
234,"Bartsam",PT,27.37254,91.598755,"Trashigang",BT,6.2,YES
244,"Beberibe",PT,-4.181047,-38.12981,"Beberibe",BR,0.2,YES
251,"Bella Unión",BR,-30.25603,-57.58985,"Bella Unión",UY,1,YES
253,"Bengasi",PT,32.120018,20.081217,"Benghazi",LY,1.3,YES
258,"Bermudas",GB,32.304028,-64.75631,"Devonshire Parish",BM,0.2,YES
260,"Bernardo de Irigoyen",BR,-26.2548,-53.64488,"Bernardo de Irigoyen",AR,0.2,YES
264,"Bielorrússia",RU,53.42506,27.697136,"Druzhny",BY,25.8,YES
269,"Bloomington-Normal",PT,40.50875,-88.9845,"Normal",US,0.8,YES
271,"Boa Esperança do Sul",PT,-21.993021,-48.39174,"Boa Esperança do Sul",BR,0.1,YES
287,"Borda da Mata",PT,-22.274166,-46.16528,"Borda da Mata",BR,0,YES
288,"Bordéus",PT,44.841225,-0.5800364,"Bordeaux",FR,0,YES
289,"Borger",PT,35.668976,-101.391945,"Borger",US,0.5,YES
294,"Brabante do Norte",PT,51.66667,5,"Waspik",NL,4.4,YES
310,"Brod",PT,43.486576,18.746937,"Foča",BA,3.4,YES
313,"Brunei",PT,4.4137154,114.56539,"Liang",BN,30.3,YES
315,"Bucerias",PT,20.755589,-105.33435,"Bucerías",MX,0.3,YES
320,"Caacupé",PT,-25.385689,-57.140476,"Caacupé",PY,0.2,YES
322,"Cabo Canaveral",PT,28.451355,-80.528305,"Cape Canaveral",US,9,YES
327,"Cabo San Lucas",PT,22.893888,-109.92006,"Cabo San Lucas",MX,0.9,YES
338,"Cafayate",PT,-26.072916,-65.97603,"Cafayate",AR,0.2,YES
340,"Caiena",FR,4.9381,-52.33455,"Cayenne",GF,0,YES
349,"Cajueiro da Praia",PT,-2.9289603,-41.33816,"Cajueiro da Praia",BR,0.3,YES
350,"Calama",PT,-22.46239,-68.927216,"Calama",CL,0.7,YES
351,"Calcutá",PT,22.572645,88.36389,"Kolkata",IN,1.1,YES
356,"Calheta",PT,15.184203,-23.5915,"Calheta de São Miguel",CV,0.2,YES
366,"Camocim",PT,-4.1311183,-40.874928,"Carnaubal",BR,8.5,YES
371,"Campo Limpo Paulista",PT,-23.20779,-46.788918,"Campo Limpo Paulista",BR,0.6,YES
381,"Canindé",PT,-4.403578,-39.423615,"Canindé",BR,13.4,YES
386,"Cantão de Isabela",PT,17,122,"San Mariano",PH,2.4,YES
387,"Cantão de São Cristóvão",PT,-22.9,-43.23333,"Santo Cristo",BR,3.3,YES
390,"Capanema",AR,-25.601997,-53.970333,"Capanema",BR,18,YES
393,"Capital (Venezuela)",VE,-31.54493,-68.56254,"San Juan",AR,3.6,YES
402,"Carlinville (Illinois)",PT,39.27977,-89.88177,"Carlinville",US,0,YES
406,"Cartagena das Índias",US,10.39972,-75.51444,"Cartagena",CO,2.3,YES
420,"Castro Laboreiro",PT,42.030533,-8.159337,"Celanova",ES,21.7,YES
426,"Cataratas do Iguaçu",BR,-25.693905,-54.43654,"Puerto Iguazú",AR,17.3,YES
427,"Catemaco",PT,18.421394,-95.11178,"Catemaco",MX,0.2,YES
436,"Chacala",PT,-20.172693,-66.86354,"Colchani",BO,15.9,YES
437,"Champotón",PT,19.343966,-90.72427,"Champotón",MX,0.6,YES
445,"Chhumey",PT,27.493576,90.699425,"Jakar",BT,8.1,YES
449,"Chichén-Itzá",PT,20.682852,-88.56872,"Chichén-Itzá",MX,1.8,YES
451,"Childress",PT,34.519657,-100.206764,"Childress",US,10.4,YES
453,"China",CN,22.17576,113.551414,"Zhuojiacun",MO,1.7,YES
454,"Chinguetti",PT,20.463434,-12.366484,"Atar",MR,71.1,NO (review)
457,"Chuy",ES,-33.69111,-53.45667,"Chuí",BR,0,YES
460,"Cidade do Kuwait",PT,-25.532696,-54.600166,"Foz do Iguaçu",BR,2.1,YES
462,"Cidade do Panamá",BR,19.462324,-99.177246,"Azcapotzalco",MX,2.9,YES
471,"Clarendon",PT,34.935936,-100.89058,"Pampa",US,67,NO (review)
475,"Cobija",BO,-11.018461,-68.753815,"Brasiléia",BR,0.7,YES
478,"Cocoa Beach",PT,28.31841,-80.6095,"Cocoa Beach",US,0.2,YES
485,"Colón",PT,9.355301,-79.89741,"Colón",PA,0.6,YES
487,"Colônia do Sacramento",PT,-34.46986,-57.84337,"Colonia del Sacramento",UY,0.9,YES
491,"Comitán",PT,16.252361,-92.13542,"Comitán",MX,1.4,YES
498,"Congonhas",PT,-20.501516,-43.856457,"Congonhas",BR,0.5,YES
502,"Cordeirópolis",PT,-22.476833,-47.455055,"Cordeirópolis",BR,0.6,YES
506,"Coreia do Norte",KR,40.37366,127.08704,"Yŏch’im-dong",KP,36.3,YES
